City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Guadalupe y Calvo,26.1,-106.9667,76.57,20,43,4.23,MX,1653754676
Stonewall,50.1344,-97.3268,59.95,87,100,9.69,CA,1653754676
Bengkulu,-3.8004,102.2655,76.42,88,82,6.93,ID,1653754677
High Rock,26.6208,-78.2833,84.22,68,77,12.75,BS,1653754677
Bethel,41.3712,-73.414,70.9,84,100,3.44,US,1653754677
Sinnamary,5.3833,-52.95,84.29,64,15,8.41,GF,1653754663
Kidal,18.4411,1.4078,107.74,8,20,5.32,ML,1653754585
Benjamin Constant,-4.3831,-70.0311,80.65,78,40,3.44,BR,1653754678
Vestmanna,62.1564,-7.1664,47.32,57,0,5.75,FO,1653754678
Rocha,-34.4833,-54.3333,57.94,64,54,2.39,UY,1653754679
Chipinge,-20.1883,32.6236,57.88,91,30,6.15,ZW,1653754679
Pimenta Bueno,-11.6725,-61.1936,89.85,44,23,4.21,BR,1653754679
Belomorsk,64.5232,34.7668,52.11,75,68,6.53,RU,1653754680
Rochegda,62.8,43.25,55.78,80,83,7.81,RU,1653754680
Marsaxlokk,35.8419,14.5431,74.01,68,40,10.36,MT,1653754681
Mogadishu,2.0371,45.3438,80.04,77,18,14.56,SO,1653754681
Brewster,41.3973,-73.6171,70.84,87,100,3.44,US,1653754682
Dauphin,51.1494,-100.0502,55.54,98,100,6.91,CA,1653754682
Salalah,17.0151,54.0924,84.29,79,20,9.22,OM,1653754682
Şaru Dornei,47.2833,25.35,55.4,62,100,3.0,RO,1653754683
Lyubech,51.7026,30.6569,54.5,73,53,12.1,UA,1653754683
Bandarbeyla,9.4942,50.8122,81.19,80,24,27.31,SO,1653754684
Katherine,-14.4667,132.2667,64.72,55,67,5.75,AU,1653754684
Smithers,54.7804,-127.1743,46.67,86,100,2.84,CA,1653754685
Capão da Canoa,-29.7456,-50.0097,64.63,95,100,4.07,BR,1653754685
Kungurtug,50.5994,97.5228,44.49,43,1,2.82,RU,1653754687
Haines Junction,60.7522,-137.5108,49.95,57,74,2.3,CA,1653754687
Tyukhtet,56.5389,89.3011,52.75,49,30,6.64,RU,1653754688
Nushki,29.5542,66.0215,82.98,11,0,14.97,PK,1653754688
Pemba,-12.974,40.5178,79.5,83,75,17.6,MZ,1653754688
Santander Jiménez,24.2167,-98.4667,89.08,47,1,6.82,MX,1653754689
Ngunguru,-35.6167,174.5,61.12,68,100,19.89,NZ,1653754689
Hambantota,6.1241,81.1185,79.81,81,86,14.94,LK,1653754690
Polunochnoye,60.8697,60.4153,52.05,88,60,4.36,RU,1653754518
Vila Franca do Campo,37.7167,-25.4333,64.81,91,100,10.65,PT,1653754690
Tigre,-34.426,-58.5796,54.63,74,40,9.22,AR,1653754690
São Raimundo Nonato,-9.0153,-42.6994,91.38,29,9,8.48,BR,1653754691
Brae,60.3964,-1.353,45.7,74,100,22.12,GB,1653754691
Igrim,63.1906,64.4162,59.65,87,96,3.4,RU,1653754692
Vernon,50.2581,-119.2691,55.54,50,93,5.99,CA,1653754512
Acaraú,-2.8856,-40.12,82.35,77,35,13.11,BR,1653754692
Erdenet,49.0333,104.0833,36.27,70,86,5.37,MN,1653754693
Annecy-le-Vieux,45.9197,6.1439,72.21,31,35,13.8,FR,1653754693
Santa Rosa,14.3122,121.1114,78.21,90,87,5.14,PH,1653754436
Dolisie,-4.1997,12.6739,80.87,66,74,1.41,CG,1653754694
Verrettes,19.05,-72.4667,88.93,48,78,3.09,HT,1653754627
Aksha,50.2814,113.2867,45.19,32,100,10.58,RU,1653754694
Kavaratti,10.5669,72.642,82.85,75,13,5.12,IN,1653754695
Tumbagaan,5.3656,120.3139,80.62,79,80,3.85,PH,1653754695
Panino,51.6467,40.1346,56.84,69,10,8.41,RU,1653754695
Renqiu,38.6989,116.0936,87.21,23,59,21.25,CN,1653754696
Chernyshevskiy,63.0128,112.4714,38.73,56,41,3.91,RU,1653754696
Buin,-33.7333,-70.75,55.58,51,100,3.38,CL,1653754697
Port Montt,-41.4698,-72.9447,47.23,76,75,8.05,CL,1653754697
Peleduy,59.6289,112.7406,42.08,64,99,3.89,RU,1653754698
Guilin,25.2819,110.2864,75.31,98,100,0.74,CN,1653754698
Vilhena,-12.7406,-60.1458,82.62,61,75,10.36,BR,1653754698
Jakar,27.5492,90.7525,54.86,96,100,1.88,BT,1653754699
Padang,-0.9492,100.3543,75.25,78,95,3.13,ID,1653754699
Nanzhou,29.3596,112.4024,68.45,96,80,5.77,CN,1653754700
Sretensk,52.2453,117.7093,38.91,71,41,2.98,RU,1653754700
Capâo Bonito,-24.0058,-48.3494,77.74,41,19,6.96,BR,1653754701
Verkhnevilyuysk,63.4453,120.3167,41.68,58,100,5.1,RU,1653754701
Severo-Kuril'sk,50.6789,156.125,44.51,96,100,3.09,RU,1653754701
Tura,25.5198,90.2201,74.23,80,0,3.94,IN,1653754522
Katobu,-4.9408,122.5276,74.89,93,89,3.18,ID,1653754702
Mastic Beach,40.7668,-72.8521,66.49,94,100,14.0,US,1653754702
Colares,38.7992,-9.4469,69.19,68,20,13.0,PT,1653754703
Olafsvik,64.8945,-23.7142,50.54,74,100,12.03,IS,1653754703
Cherskiy,68.75,161.3,35.01,59,4,3.06,RU,1653754704
Belyy Yar,53.6039,91.3903,55.85,45,0,4.47,RU,1653754704
Gusinoye Ozero,51.1144,106.2614,44.91,50,33,9.1,RU,1653754705
Tamasane,-22.4184,27.4013,66.52,39,0,7.56,BW,1653754705
Barreiras,-12.1528,-44.99,91.31,21,3,5.23,BR,1653754705
Chivay,-15.6383,-71.6011,54.28,33,2,2.91,PE,1653754706
Porto Walter,-8.2686,-72.7439,79.79,89,34,1.63,BR,1653754706
Bathsheba,13.2167,-59.5167,83.01,74,40,16.11,BB,1653754668
Shubarkuduk,49.1447,56.4872,65.64,56,24,8.19,KZ,1653754708
Escárcega,18.6089,-90.7454,75.56,90,100,2.66,MX,1653754708
Necochea,-38.5473,-58.7368,50.94,46,67,8.86,AR,1653754709
Nishihara,26.1842,127.7558,74.91,100,75,10.36,JP,1653754709
Agde,43.3108,3.4758,84.63,27,0,19.57,FR,1653754709
Dwārka,22.2394,68.9678,81.3,87,4,17.94,IN,1653754710
Laguna,38.421,-121.4238,63.48,68,0,10.36,US,1653754662
Vanimo,-2.6741,141.3028,78.53,82,45,1.19,PG,1653754710
Bantry,51.6833,-9.45,61.79,64,22,7.92,IE,1653754710
Belmonte,-15.8631,-38.8828,80.28,64,29,8.19,BR,1653754711
Lakatoro,-16.0999,167.4164,77.11,81,8,6.67,VU,1653754711
Vardø,70.3705,31.1107,44.58,81,11,18.41,NO,1653754711
La Ronge,55.1001,-105.2842,55.65,58,75,11.5,CA,1653754712
Eyl,7.9803,49.8164,85.87,60,68,21.79,SO,1653754712
Bozhou,33.8772,115.7703,68.05,83,61,11.79,CN,1653754712
Bagdarin,54.4333,113.6,36.77,66,98,5.91,RU,1653754713
Ketchikan,55.3422,-131.6461,50.47,93,75,6.91,US,1653754713
Fayaoué,-20.65,166.5333,77.88,77,0,14.54,NC,1653754714
Rumboci,43.8322,17.5011,61.14,88,92,7.2,BA,1653754714
Vanavara,60.34,102.2797,44.17,51,100,1.05,RU,1653754714
Tomatlán,19.9333,-105.25,86.27,55,100,4.79,MX,1653754715
Narsaq,60.9167,-46.05,61.02,43,19,8.7,GL,1653754715
Bucerías,20.75,-105.3333,80.58,78,40,5.75,MX,1653754715
Zaysan,47.4667,84.8667,70.54,40,4,6.6,KZ,1653754716
Resistencia,-27.4606,-58.9839,66.74,99,100,4.61,AR,1653754658
Ayorou,14.7308,0.9174,108.43,12,4,5.84,NE,1653754716
Navoiy,40.0844,65.3792,69.28,30,1,6.91,UZ,1653754716
Taicheng,38.731,113.228,68.81,38,96,2.08,CN,1653754717
Saint George,37.1041,-113.5841,85.35,13,0,17.27,US,1653754546
Kulachi,31.9286,70.4592,99.91,12,0,6.82,PK,1653754717
San Luis Río Colorado,32.4631,-114.7767,83.79,35,45,5.1,MX,1653754718
Bhadrāchalam,17.6667,80.8833,95.97,20,10,3.67,IN,1653754718
Bria,6.5423,21.9863,76.89,74,74,4.43,CF,1653754719
Severnoye,56.3491,78.3619,59.76,57,100,6.11,RU,1653754719
Rāpar,23.5667,70.6333,85.48,66,0,21.61,IN,1653754719
Clyde River,70.4692,-68.5914,25.03,86,40,12.66,CA,1653754720
Buala,-8.145,159.5921,79.29,82,96,4.27,SB,1653754720
Kumul,42.8,93.45,77.94,27,51,8.1,CN,1653754721
Watsa,3.0372,29.5355,65.64,98,74,6.08,CD,1653754499
Romilly-sur-Seine,48.5108,3.7263,68.38,48,26,10.74,FR,1653754721
Red Bluff,40.1785,-122.2358,64.31,59,100,9.22,US,1653754434
Klaksvík,62.2266,-6.589,49.12,72,5,19.73,FO,1653754722
Sur,22.5667,59.5289,90.25,52,0,7.85,OM,1653754722
Paciran,-6.8767,112.3761,80.91,76,17,3.38,ID,1653754722
Victor Harbor,-35.5667,138.6167,49.68,83,19,3.71,AU,1653754723
Liverpool,53.4106,-2.9779,61.3,55,20,13.8,GB,1653754641
Yeppoon,-23.1333,150.7333,60.58,71,53,4.74,AU,1653754723
Inuvik,68.3499,-133.7218,34.66,75,75,4.61,CA,1653754724
Iranshahr,27.2025,60.6848,104.34,9,0,9.22,IR,1653754724
Dragoman,42.9189,22.9317,64.02,95,95,2.17,BG,1653754725
Safonovo,55.15,33.2167,50.07,80,46,9.22,RU,1653754726
Aasiaat,68.7098,-52.8699,31.51,64,99,10.63,GL,1653754726
Half Moon Bay,37.4636,-122.4286,60.57,76,100,14.97,US,1653754619
Severnyy,50.677,36.5532,64.44,42,0,8.95,RU,1653754521
Cap Malheureux,-19.9842,57.6142,74.46,70,2,5.01,MU,1653754727
Gazojak,41.1875,61.4036,76.48,20,0,9.44,TM,1653754688
Shouguang,36.88,118.7375,79.5,30,85,16.28,CN,1653754727
Chumikan,54.7183,135.315,33.51,98,100,18.25,RU,1653754728
Galway,53.2719,-9.0489,63.05,60,19,5.5,IE,1653754728
Coquimbo,-29.9533,-71.3436,55.13,76,100,3.44,CL,1653754728
Adelaide,-34.9333,138.6,50.52,91,40,5.75,AU,1653754679
Zhigansk,66.7697,123.3711,31.03,89,7,10.33,RU,1653754729
Olovyannaya,50.95,115.5667,46.58,35,83,5.23,RU,1653754729
Niquelândia,-14.4739,-48.4597,89.64,22,29,3.09,BR,1653754730
Maroantsetra,-15.4333,49.7333,72.72,86,9,5.82,MG,1653754730
Lingao,19.9103,109.6859,79.18,89,12,8.12,CN,1653754730
Bogale,16.2833,95.4,80.47,86,58,7.49,MM,1653754731
Setermoen,68.861,18.3486,52.43,56,93,8.99,NO,1653754731
Buraidah,26.326,43.975,99.05,9,17,12.95,SA,1653754731
Mizdah,31.4451,12.9801,88.45,15,0,26.31,LY,1653754732
Kumta,14.4167,74.4,82.33,79,23,7.34,IN,1653754732
Katsuura,35.1333,140.3,66.61,89,96,9.51,JP,1653754733
‘Āhuimanu,21.4447,-157.8378,72.75,86,100,5.75,US,1653754733
Porto Velho,-8.7619,-63.9039,89.65,51,40,5.75,BR,1653754734
Belaya Gora,68.5333,146.4167,40.14,59,52,6.08,RU,1653754734
Bursa,40.1667,29.0833,80.64,47,7,3.83,TR,1653754734
Jasper,37.2001,-94.3502,70.27,64,40,10.36,US,1653754735
Polička,49.7146,16.2654,57.04,43,53,14.14,CZ,1653754735
Honiara,-9.4333,159.95,77.05,85,52,3.06,SB,1653754735
Xichang,27.8964,102.2634,68.43,84,45,0.38,CN,1653754736
Ryōtsu-minato,38.0833,138.4333,63.57,80,1,10.58,JP,1653754736
Srednekolymsk,67.45,153.6833,44.47,51,79,4.34,RU,1653754737
Agadir,30.4202,-9.5982,75.65,60,27,11.1,MA,1653754599
Balkanabat,39.5108,54.3671,81.23,18,0,14.23,TM,1653754737
San Quintín,30.4833,-115.95,63.82,69,90,11.92,MX,1653754738
Lake Havasu City,34.4839,-114.3224,86.05,15,0,17.27,US,1653754738
Marzuq,14.4,46.4667,81.86,54,100,8.25,YE,1653754738
Hornepayne,49.2138,-84.7705,65.12,50,83,5.41,CA,1653754739
Kiunga,-6.1219,141.2906,73.38,99,95,1.68,PG,1653754739
Lata,40.1629,-8.3327,87.49,37,26,10.45,PT,1653754740
La Tuque,47.4334,-72.7824,59.25,67,100,4.61,CA,1653754740
Camacupa,-12.0167,17.4833,69.3,39,0,3.42,AO,1653754722
Ascension,30.2169,-90.9001,80.94,57,0,3.44,US,1653754740
Madawaska,47.3561,-68.3288,59.85,77,100,9.22,US,1653754741
Valleyview,55.0667,-117.2859,55.44,44,29,16.11,CA,1653754741
Yar,58.249,52.1026,51.13,90,94,9.22,RU,1653754741
Atherton,53.5237,-2.4935,61.92,54,95,3.0,GB,1653754742
Makakilo City,21.3469,-158.0858,71.83,79,100,4.61,US,1653754742
Te Anau,-45.4167,167.7167,44.51,91,100,2.04,NZ,1653754743
Hai Duong,20.9333,106.3167,82.4,92,57,7.7,VN,1653754743
Coyhaique,-45.5752,-72.0662,40.95,65,20,3.44,CL,1653754743
Skeldon,5.8833,-57.1333,82.2,75,55,7.25,GY,1653754745
Mexico,15.0646,120.7198,82.11,79,71,5.12,PH,1653754745
Gräfenhainichen,51.7333,12.45,59.38,53,73,7.0,DE,1653754746
Hamilton,39.1834,-84.5333,65.68,82,100,6.91,US,1653754695
Puerto Madryn,-42.7692,-65.0385,43.5,75,53,23.82,AR,1653754746
Kutum,14.2,24.6667,90.68,7,0,9.17,SD,1653754746
Flinders,-34.5833,150.8552,54.18,83,14,1.99,AU,1653754747
Oparino,59.8518,48.2783,50.43,94,100,6.82,RU,1653754747
Port Macquarie,-31.4333,152.9167,52.9,88,19,7.43,AU,1653754748
Ko Samui,9.5357,99.9357,80.56,81,100,27.63,TH,1653754748
Asău,46.4333,26.4,59.92,93,100,4.29,RO,1653754748
Urdoma,61.7533,48.5442,54.1,90,91,7.23,RU,1653754749
Barra de Tecoanapa,16.5167,-98.75,85.1,64,100,3.04,MX,1653754749
Kishtwār,33.3167,75.7667,63.52,75,83,4.52,IN,1653754749
Thunder Bay,48.4001,-89.3168,49.91,100,100,5.75,CA,1653754750
Nieves,15.3274,120.9485,81.91,89,65,5.68,PH,1653754750
Leh,34.1667,77.5833,56.26,37,74,4.83,IN,1653754751
Andenes,69.3143,16.1194,46.38,87,40,10.36,NO,1653754751
Polokwane,-23.9045,29.4688,63.45,52,0,3.44,ZA,1653754751
Llata,-9.4167,-76.7833,57.85,66,72,4.63,PE,1653754752
Ukiah,39.1502,-123.2078,57.7,69,100,0.0,US,1653754752
South Sioux City,42.4739,-96.4136,80.28,47,0,18.41,US,1653754752
Chalmette,29.9427,-89.9634,81.5,51,0,9.22,US,1653754753
Waliso,8.5333,37.9833,65.03,60,88,9.66,ET,1653754753
Saint-François,46.4154,3.9054,71.04,26,0,13.8,FR,1653754600
‘Ewa Beach,21.3156,-158.0072,73.15,79,100,4.61,US,1653754751
Ternate,0.8,127.4,78.12,85,100,1.59,ID,1653754754
Mnogovershinnyy,53.9353,139.9242,37.53,98,100,5.48,RU,1653754754
Lompoc,34.6391,-120.4579,55.76,86,100,14.0,US,1653754728
Muroto-misakicho,33.2833,134.15,70.7,72,95,16.31,JP,1653754755
Savannakhet,16.566,104.751,81.34,73,100,9.33,LA,1653754755
Conde,-7.2597,-34.9075,76.46,88,75,8.05,BR,1653754755
Fort Nelson,58.8053,-122.7002,56.79,51,75,9.22,CA,1653754667
Grindavik,63.8424,-22.4338,54.07,66,75,24.16,IS,1653754583
Koumra,8.9126,17.5539,96.55,26,71,3.53,TD,1653754756
Ullapool,57.8987,-5.1604,51.35,74,88,9.69,GB,1653754756
Saint-Joseph,-21.3667,55.6167,71.98,70,68,12.64,RE,1653754757
Pudozh,61.8099,36.5345,53.53,86,98,0.69,RU,1653754757
Kosh-Agach,50.0,88.6667,58.28,38,20,3.96,RU,1653754758
Saldanha,-33.0117,17.9442,57.25,87,26,11.43,ZA,1653754758
Wattegama,6.7989,81.4808,78.31,76,76,9.37,LK,1653754759
Oxbow,49.2333,-102.1676,62.64,75,81,11.39,CA,1653754759
Plácido de Castro,-10.3353,-67.1856,90.36,46,8,3.29,BR,1653754760
Soc Trang,9.6033,105.98,78.75,84,100,7.49,VN,1653754760
Falmouth,50.1544,-5.0711,62.76,48,9,13.8,GB,1653754515
Keflavik,64.0049,-22.5624,54.03,66,75,24.16,IS,1653754761
Empangeni,-28.762,31.8933,66.67,71,0,5.26,ZA,1653754761
Dogondoutchi,13.6393,4.0287,104.97,18,3,5.08,NE,1653754762
Provost,52.3501,-110.2683,57.65,64,94,13.87,CA,1653754762
Anadyr,64.75,177.4833,41.0,80,0,6.71,RU,1653754727
Chifeng,42.2683,118.9636,69.46,40,63,3.71,CN,1653754763
Dayong,25.0209,118.2898,74.39,97,100,1.97,CN,1653754764
Tuensang,26.2833,94.8333,64.63,96,7,2.8,IN,1653754764
Sabha,27.0377,14.4283,100.63,8,0,16.26,LY,1653754765
Havøysund,70.9963,24.6622,48.43,81,23,11.36,NO,1653754765
Frontera,26.9333,-101.45,89.33,45,24,4.0,MX,1653754766
Ampanihy,-24.7,44.75,66.16,57,0,13.18,MG,1653754634
Santo Ângelo,-28.2992,-54.2631,70.12,83,75,16.11,BR,1653754766
Neiafu,-18.65,-173.9833,79.48,83,75,11.5,TO,1653754767
Vila Velha,-20.3297,-40.2925,78.94,68,75,9.22,BR,1653754767
Balikpapan,-1.2675,116.8289,79.79,89,20,2.3,ID,1653754767
Biryusinsk,55.9634,97.8235,44.24,50,4,3.2,RU,1653754768
Berlevåg,70.8578,29.0864,46.35,76,32,17.27,NO,1653754536
Saint-Paul,-21.0096,55.2707,70.93,75,33,9.55,RE,1653754768
Barinas,8.6226,-70.2075,86.04,54,50,6.91,VE,1653754768
Heraclea,37.5133,34.0467,77.11,29,21,8.88,TR,1653754769
Province of Mantua,45.1667,10.7833,72.28,85,100,16.98,IT,1653754769
Kamenka,51.3223,42.7678,53.92,84,98,9.37,RU,1653754770
Penzance,50.1186,-5.5371,60.12,72,0,17.27,GB,1653754770
Kovdor,67.5662,30.4758,56.52,59,39,11.48,RU,1653754770
Xining,36.6167,101.7667,53.53,73,71,4.63,CN,1653754771
Tarko-Sale,64.9225,77.785,59.2,35,4,20.6,RU,1653754771
San Jose,37.3394,-121.895,64.18,62,75,6.91,US,1653754679
Coronado,32.6859,-117.1831,63.45,75,100,8.05,US,1653754772
Guarujá,-23.9931,-46.2564,87.66,35,0,9.22,BR,1653754769
Yangi Marg`ilon,40.4272,71.7189,65.12,45,40,11.5,UZ,1653754668
Ust'-Ordynskiy,52.805,104.7508,44.94,41,79,7.54,RU,1653754772
Husavik,66.0449,-17.3389,50.86,56,7,6.69,IS,1653754773
Kaduqli,11.0167,29.7167,96.93,22,50,5.32,SD,1653754773
Koungou,-12.7336,45.2042,80.31,78,0,11.5,YT,1653754773
Nouadhibou,20.931,-17.0347,73.38,68,5,19.57,MR,1653754774
Vaitape,-16.5167,-151.75,80.89,68,2,15.66,PF,1653754774
Didsbury,53.417,-2.2315,62.46,54,40,11.5,GB,1653754774
Karratha,-20.7377,116.8463,73.49,75,100,8.5,AU,1653754775
São Miguel do Araguaia,-13.275,-50.1628,91.02,25,9,4.74,BR,1653754775
Waipawa,-41.4122,175.5153,42.31,91,5,4.56,NZ,1653754775
Itaituba,-4.2761,-55.9836,91.56,58,40,8.05,BR,1653754776
Shaki,41.0833,47.1667,69.91,54,0,4.5,AZ,1653754776
Shimoda,34.6667,138.95,67.42,67,99,4.43,JP,1653754776
Viedma,-40.8135,-62.9967,50.32,38,0,15.77,AR,1653754777
Kununurra,-15.7667,128.7333,60.78,82,9,0.0,AU,1653754777
Lincoln,40.8,-96.667,81.57,47,0,17.27,US,1653754502
Prieska,-29.6641,22.7474,66.97,28,0,11.68,ZA,1653754778
Comodoro Rivadavia,-45.8667,-67.5,44.46,45,0,16.11,AR,1653754778
Pecos,31.4229,-103.4932,91.89,19,0,3.44,US,1653754778
Panguipulli,-39.6333,-72.3333,43.3,67,72,3.09,CL,1653754598
Assaré,-6.8744,-39.875,82.49,52,99,8.9,BR,1653754779
Shitanjing,39.2342,106.3439,66.42,50,100,19.44,CN,1653754779
Weligama,5.9667,80.4167,78.03,90,100,9.73,LK,1653754780
Bumba,2.1833,22.4667,70.39,98,100,4.92,CD,1653754567
Tazovsky,67.4667,78.7,42.84,70,4,13.58,RU,1653754780
Vao,-22.6667,167.4833,74.26,82,2,15.52,NC,1653754780
Zwedru,6.0667,-8.1281,84.11,73,67,3.74,LR,1653754782
Klerksdorp,-26.8521,26.6667,63.61,39,1,8.99,ZA,1653754782
Sept-Îles,50.2001,-66.3821,44.06,96,100,11.5,CA,1653754503
